date,EUR,GBP,JPY
2000-03-12,0.1373,0.1105,-0.0009
2000-03-13,-0.1802,-0.1882,-0.6421
2000-03-14,-0.3526,0.1938,-0.4473
2000-03-15,-0.0552,0.2342,0.0
2000-03-16,-0.3404,-0.1661,0.3536
2000-03-17,-0.0408,0.0696,1.1263
2000-03-18,0.0,0.0,0.0
2000-03-19,-0.071,-0.0476,0.1245
2000-03-20,-0.0715,0.389,-0.4567
2000-03-21,0.9127,-0.224,0.5222
2000-03-22,0.3985,-0.3362,0.0594
2000-03-23,-1.1255,-0.5745,0.3512
2000-03-24,-0.613,-0.5159,0.0
2000-03-25,0.0,0.0628,0.0
2000-03-26,0.0513,0.0,-0.39
2000-03-27,1.1844,0.4709,-0.2092
2000-03-28,0.4215,-0.1272,-0.8264
2000-03-29,1.1215,-0.4167,-0.2293
2000-03-30,-1.0955,-0.0463,-0.1265
2000-03-31,0.63,0.2793,-3.0385
2000-04-01,-0.0521,0.0,0.6332
2000-04-02,-0.0411,0.0,0.068
2000-04-03,-0.1679,-0.3505,1.744
2000-04-04,-0.48,0.0,0.0667
2000-04-05,-0.1507,0.8694,-0.0243
2000-04-06,0.5478,0.203,-0.1703
2000-04-07,0.4122,0.076,0.7145
2000-04-08,0.0,0.0,-0.1281
2000-04-09,-0.0859,0.0,0.0702
2000-04-10,-0.7272,-0.3347,0.9545
2000-04-11,0.3281,-0.0791,0.5267
2000-04-12,0.0906,-0.1538,-1.1293
2000-04-13,0.3821,-0.0038,0.0005
2000-04-14,-0.6383,0.0095,-0.9374
2000-04-15,-0.0803,0.0,0.1773
2000-04-16,0.0106,0.1229,-0.4233
2000-04-17,0.932,0.3283,-0.0866
2000-04-18,0.5798,0.1297,0.2772
2000-04-19,0.6466,-0.2017,0.0802
2000-04-20,0.242,0.1543,0.8454
2000-04-21,0.0221,0.1323,0.1049
2000-04-22,-0.0915,-0.1029,-0.1508
2000-04-23,-0.1095,-0.0148,-0.2302
2000-04-24,0.1926,0.0674,0.3357
2000-04-25,1.8816,-0.1725,0.1238
2000-04-26,-0.2942,0.3408,0.3468
2000-04-27,1.5449,0.1987,0.0893
2000-04-28,-0.2003,1.3233,1.6428
2000-04-29,-0.0656,0.0,0.0102
2000-04-30,0.0602,-0.0317,-0.2189
2000-05-01,-0.4751,-0.0205,0.808
2000-05-02,0.7699,-0.451,-0.2568
2000-05-03,1.508,-0.143,0.529
2000-05-04,0.5276,1.3236,-0.8909
2000-05-05,-0.8297,0.877,0.3739
2000-05-06,0.0305,-0.1823,0.3514
2000-05-07,0.0507,0.1693,-0.3182
2000-05-08,-0.1585,-0.2627,0.4751
2000-05-09,-0.9888,0.0646,0.1342
2000-05-10,0.0671,1.334,0.2757
2000-05-11,0.5927,0.4056,-0.8933
2000-05-12,-1.9462,-0.8284,0.0
2000-05-13,-0.0492,-0.2238,-0.0691
2000-05-14,0.0598,0.0479,0.0147
2000-05-15,0.8466,0.8956,0.8874
2000-05-16,1.0273,0.8458,0.1096
2000-05-17,0.8408,-0.0435,-0.0712
2000-05-18,0.0814,0.7826,-0.8419
2000-05-19,-0.6015,-0.3839,-1.5313
2000-05-20,0.234,0.1369,0.0449
2000-05-21,0.0812,-0.0372,0.0528
2000-05-22,-0.7187,-0.4501,-0.0023
2000-05-23,-0.4325,1.0964,-0.472
2000-05-24,0.116,0.0659,1.2593
2000-05-25,-0.7039,0.354,0.0
2000-05-26,-2.06,-1.3697,0.0
2000-05-27,-0.4418,-0.0624,0.0
2000-05-28,-0.2669,0.0,0.0
2000-05-29,1.1602,0.0209,0.0
2000-05-30,-0.3138,-0.2369,0.0
2000-05-31,-0.8211,-0.335,0.0
2000-06-01,0.6191,0.44,0.0
2000-06-02,-1.3048,-0.9413,0.0
2000-06-03,-0.3266,-0.2291,0.0
2000-06-04,0.0965,0.2019,0.0
2000-06-05,-0.2297,-0.6897,0.0
2000-06-06,-0.6192,-0.6184,0.0
2000-06-07,-0.8037,0.3918,0.0
2000-06-08,0.5372,0.8342,0.0
2000-06-09,0.371,0.0663,0.0
2000-06-10,-0.0357,0.0291,0.0
2000-06-11,-0.0052,-0.0332,0.0
2000-06-12,0.0577,-0.2218,-0.9781
2000-06-13,-0.8003,0.2369,0.1412
2000-06-14,0.2768,0.6221,-0.2874
2000-06-15,0.4292,-0.9361,-0.0647
2000-06-16,-1.2511,-0.0799,-0.3868
2000-06-17,0.0734,-0.1564,0.3305
2000-06-18,0.1509,0.1567,-0.0573
2000-06-19,0.6192,0.1781,-0.6945
2000-06-20,0.1177,-0.4194,-0.2329
2000-06-21,1.1357,1.2452,0.1089
2000-06-22,0.9161,-0.9554,-1.2241
2000-06-23,0.1063,0.674,0.3139
2000-06-24,0.0047,0.0347,0.2967
2000-06-25,-0.0159,-0.0035,0.2474
2000-06-26,-0.0684,0.4052,0.4154
2000-06-27,-0.9626,-0.5507,-0.2876
2000-06-28,0.3414,-0.4415,0.138
2000-06-29,-0.9387,-0.4289,-0.29
2000-06-30,-0.1862,0.112,0.7335
2000-07-01,0.0,0.0,0.0
2000-07-02,0.1472,0.0164,0.0
2000-07-03,0.1223,0.2318,-0.3062
2000-07-04,-0.0813,-0.1381,0.4198
2000-07-05,-0.1028,0.4472,0.9274
2000-07-06,0.1842,0.0659,0.3496
2000-07-07,0.3829,-0.3778,0.4253
2000-07-08,-0.1801,-0.031,0.0176
2000-07-09,0.1432,-0.0059,-0.1205
2000-07-10,-0.8254,0.007,-0.6855
2000-07-11,0.2781,-0.19,0.0808
2000-07-12,1.1081,0.6306,1.0393
2000-07-13,0.5315,0.282,-0.0453
2000-07-14,-0.0408,0.2481,-0.3522
2000-07-15,0.0141,-0.0592,0.0
2000-07-16,-0.0689,-0.0477,0.0032
2000-07-17,0.2081,0.4163,0.3013
2000-07-18,1.0899,-0.1811,0.1293
2000-07-19,0.179,-0.0222,-0.0203
2000-07-20,-0.9399,-1.017,-0.6345
2000-07-21,-0.4335,-0.4532,1.1981
2000-07-22,0.125,0.178,0.1248
2000-07-23,-0.0838,-0.0331,-0.1992
2000-07-24,0.424,0.128,-0.0119
2000-07-25,-0.5636,-0.0106,0.3289
2000-07-26,-0.4165,-0.0164,0.0591
2000-07-27,0.9932,0.1312,0.0055
2000-07-28,0.9792,0.6868,0.3126
2000-07-29,0.0342,0.0445,0.0173
2000-07-30,-0.0684,-0.0033,-0.0493
2000-07-31,-0.3531,0.2513,-0.1809
2000-08-01,1.4302,0.4789,-0.054
2000-08-02,0.0567,-0.1008,-0.2611
2000-08-03,0.7753,-0.1412,-0.5713
2000-08-04,-0.0893,-0.6106,0.1954
2000-08-05,0.0077,-0.0238,0.023
2000-08-06,-0.0277,0.0497,-0.029
2000-08-07,-0.118,-0.4675,0.4232
2000-08-08,0.7427,0.4553,-0.4163
2000-08-09,0.2571,0.1607,-0.6689
2000-08-10,-0.9526,0.3668,0.8759
2000-08-11,0.5872,-0.3489,-0.1936
2000-08-12,0.0081,0.0467,-0.0373
