date_serial,ABT,BP,CL,EK,FDX,KO,WMT,PEP,PG,WYE
2450718,0.488921406,1.235866334,0.091785229,1.368699098,-0.224383041,0.810508571,0.525516353,1.100836736,-0.100857295,0.098723652
2450721,2.164790419,-1.08109161,2.087633074,0.57646027,-0.778018732,0.400416968,1.204504023,2.769712161,1.52039647,3.442917856
2450722,-0.576999652,-0.417583024,0.356083462,0.881608061,0.778018732,-2.429269257,-0.163666158,-0.46734804,-1.266203967,0
2450723,-0.093618356,0.550965581,0.178677832,1.619097535,-0.312012734,1.529231037,0,0.323987822,0.709826944,1.045378535
2450724,0.295008365,-1.040523003,0.355135028,-2.409755158,0,1.506197358,0.516516032,-0.776848914,0.873244986,-1.234064182
2450725,-1.067212975,0.761635118,0.349497953,-1.156262882,-1.88684843,-0.798343694,-0.673403218,-0.6000018,-2.08340869,1.739174271
2450728,0.292735746,0.208573543,1.888590034,-0.788896487,-3.268264743,0.206957011,-0.324851396,-0.298136867,1.047129987,0.679165881
2450729,1.329583276,0.065731817,0,0.284720218,1.482292889,1.277519149,-0.19128302,1.796689393,2.91189369,1.766615967
2450730,0.091561123,-2.479602493,0.084068941,-0.888471654,-2.246986778,-1.675133987,-2.065335701,0.947146464,-1.282768681,0.160406397
2450731,0.29300661,1.26704616,-0.680950283,0.095571845,-0.677968699,-0.709337167,-0.536648654,0.615386557,1.303944124,-1.62117848
2450732,0.187324438,-0.20217911,1.12608987,1.092560943,-2.600063491,-0.194332045,1.941808586,1.273902578,1.205251135,0.608745654
2450735,-0.280025074,-0.078077077,0.689803538,0.094443577,4.110167569,-0.52058032,-0.530949969,-0.662422804,-0.082440236,-0.178854007
2450736,0.185328238,-0.559035445,-0.419992218,1.762228839,-0.32948959,-0.917587955,-0.692044284,-1.612731741,-1.801602741,-2.86249918
2450737,-1.079738211,0.839165764,-1.808779641,-2.548910805,1.067133505,-1.246173807,1.057327602,-2.137002574,0.795482528,1.757514482
2450738,-0.204322271,-0.277793389,1.12608987,-0.095663273,-2.666824708,-1.465289375,-2.244172309,-1.333353087,-2.179161521,-1.305030322
2450739,0.896302879,-0.066688899,0.424328784,0.397994635,-0.938335572,-0.749322307,-2.30812355,2.508805186,0.355543289,1.763714149
2450742,-0.298484237,0.61687792,-0.509843903,-1.198767652,1.017855025,0.528515423,2.138966476,1.633641932,1.756033042,0.516148178
2450743,0.598426983,0.416165314,1.859803308,1.500187726,2.168070557,2.003265375,1.903752904,2.531780798,1.992318251,2.225060893
2450744,-0.204515135,-0.620706936,-0.678813994,-1.695226907,-0.739570196,-1.156663637,-1.725140168,-3.978087001,-0.690229135,1.088647268
2450745,0.194521053,2.094862788,1.044433273,-1.022321277,-1.034022819,-1.188951716,1.433510786,1.682956778,0.623850031,-0.256878394
2450746,-2.80579528,-2.567901442,-1.212827879,-0.917587955,-4.960615769,-3.870082752,-4.506430438,-2.143789921,-2.34877287,-0.508362299
2450749,-4.612977173,-5.053080865,-3.649821804,-4.529012362,-7.579383937,-3.558049993,-4.910077141,-5.050592095,-5.724298258,-5.381154949
2450750,5.452083888,6.362829688,6.801230539,2.869223222,5.49157576,7.532082858,12.92416649,12.1437889,10.50119677,6.788470888
2450751,-0.703824822,0.948429333,0,1.346541832,0.196034143,-1.079397667,0.548262807,-3.230027031,-2.808116197,0.258169856
2450752,0.316166334,0.733115519,-0.453036112,-1.14934221,-0.483238633,-1.9977682,1.800280909,-1.388911216,0.744937891,1.360565206
2450753,0.703824822,-0.704068318,-4.896407919,0.317805737,0.751883241,0.566674086,-1.249306425,1.03571381,-0.732604009,-1.180271212
2450756,-0.40080214,0.489760552,0.394726967,4.958890205,1.197265059,2.169282461,-0.877439136,1.346640334,3.13577128,1.59275267
2450757,1.709443336,-0.347943558,-1.932813144,-0.396040122,-0.826207119,-0.223656007,0.523633551,0.511372397,1.403531812,2.23569071
2450758,1.183445765,-1.285935217,2.122011532,-0.700863015,-0.74283509,-0.743369315,-1.212804281,0.859758117,0.694447235,1.790860216
2450759,0,0.425899924,-0.951934842,4.190076738,0.845639636,0.432863631,2.248518091,0,0.700577336,0.565263581
2450760,1.924224622,-0.743936831,0.49431638,0.290497873,1.773651086,-0.768965691,0,2.079653489,0.892041313,1.703441489
2450763,-0.302620284,0.224281508,-0.607505357,1.138532223,-4.097747924,-2.217385749,0,-1.722264792,-1.302448213,-2.432640283
2450764,-0.11183003,0.656662772,-1.086526541,-6.324124975,0.108788572,0.995033085,0.350735554,1.208049528,1.126498249,0.237529803
2450765,2.01214032,-1.117861563,-0.39564839,-0.92166551,-2.999108174,-0.21238946,2.833656582,-0.507472191,-0.167247426,-0.515255377
2450766,2.082580632,-0.45103934,-0.39408918,-2.566774675,-1.005033585,1.208526838,0.339293031,0.727275933,0.602989356,-1.534276672
2450767,1.658620405,1.603592624,0.990669897,-0.100050033,1.908791613,0.208695728,1.582069231,1.710386523,2.269447663,-3.318005777
2450770,-0.092535479,1.549191383,1.139480057,1.654571167,1.466787594,2.341471069,-0.47613171,1.021788938,-1.342302033,-1.60576927
2450771,-0.481330019,-1.122094359,-1.642911185,-0.724640852,-1.974319835,0.201038768,-1.416669278,-1.20023263,-0.680274732,0.353982671
2450772,1.940000316,-0.361459786,0,-0.729930248,-2.426910893,3.905977326,1.12188836,3.550027304,1.772592248,-0.16946763
2450773,0.582377125,-0.9755081,2.300763322,0.829054657,5.052139161,1.379550936,0.476848689,-0.317881062,1.576922626,-0.181349007
2450774,0.654941036,-0.281706198,-0.369004109,1.034916835,0.861146333,0.392927814,-0.623054975,0.158019522,-0.247251086,0.181349007
2450777,-0.475351658,-0.708574393,-0.651569168,0,-0.772920837,-1.585824543,-0.479133435,-1.020143075,0.078400631,0.519773594
2450778,0.6695095,-1.236599986,-0.464109744,0,0.587418601,2.255438246,-0.629963026,-0.161203689,1.294516459,-2.279862327
2450779,-0.106213499,-0.988234725,-1.137349644,-0.724640852,0.751883241,-2.6575433,0,-1.184082726,-2.685249974,-1.592979212
2450781,-1.342302033,1.823758755,0.850016709,0.214645505,-0.282927744,0.09604611,-0.473167363,-0.162557608,0.328666568,-0.085910658
2450784,3.218529679,-0.451578237,1.021116851,1.327126876,2.823237569,3.146892772,1.553094203,0.825900525,1.213387806,2.20223468
2450785,0.46203227,1.369047174,1.365464985,-0.409803049,-0.17376199,1.421933598,-0.611622702,-0.984967367,2.809137451,-0.168279383
