county,state,bank_share_06,nb_share_07,nb_share_16,d_nb_share_07_16,d_nb_share_07_10,d_nb_share_10_16,nb_growth_07_16,nb_growth_07_10,nb_growth_10_16,total_growth_07_16,total_growth_07_10,total_growth_10_16,bank_growth_07_16,unemp_rate_2002_2006,lfp_rate_2002_2006,est_2002_2006,wage_2002_2006,log_pop,unemp_rate2005,lfp_rate2005,wage2005
36103,36,0.49711934,0.5033747,0.5597056,0.05633092,0.005166352,0.051164567,0.27440223,-0.24147667,0.5158789,0.16832611,-0.25168774,0.42001384,0.047933865,-0.6999998,0.015776455,0.04783449,0.11320529,14.205989,4.2,0.5262765,40.315895
36105,36,0.5576923,0.42929292,0.6074074,0.17811447,0.008909345,0.16920513,0.6572152,-0.08594243,0.7431576,0.3101549,-0.10648348,0.4166384,-0.06394873,0.0,-0.00290367,0.055078324,0.1106689,11.248699,4.8,0.45791873,27.453888
36107,36,0.36363637,0.62393165,0.69101125,0.0670796,-0.009896576,0.07697618,0.52172494,-0.0419642,0.5636891,0.4196096,-0.025975486,0.4455851,0.22314355,-1.1999998,-0.00078725815,0.007662835,0.808899,10.85149,4.7,0.50977504,41.853344
36109,36,0.38989168,0.6,0.673716,0.073715985,0.035658896,0.03805709,0.21421492,-0.09309042,0.30730534,0.0983359,-0.1508229,0.24915878,-0.105360515,-0.5999999,0.020500004,0.020295203,0.13378634,11.507239,3.6,0.54911345,28.957352
36111,36,0.50501,0.5651214,0.48200312,-0.08311829,-0.023136675,-0.059981614,0.18492234,-0.18388528,0.3688076,0.34401232,-0.14208251,0.48609483,0.51891464,-0.3000002,0.002141416,0.06330215,0.12927476,12.114165,4.3,0.50327235,28.07986
36113,36,0.45945945,0.56401384,0.6,0.035986185,-0.059340954,0.09532714,0.030213779,-0.41161898,0.44183275,-0.031637084,-0.30045068,0.26881358,-0.11778303,-0.4000001,0.02756381,0.0030146425,0.13078624,11.085307,4.6,0.5439837,31.39167
36115,36,0.28629032,0.6744186,0.70247936,0.028060734,-0.011435211,0.039495945,0.1590647,-0.189242,0.3483067,0.1182997,-0.172141,0.2904407,0.028170876,-0.5,0.026438624,-0.003646308,0.18081982,11.04241,4.5,0.51456743,30.155716
36117,36,0.27322406,0.7277628,0.4188164,-0.30894643,-0.07061994,-0.23832649,0.021978907,-0.16034265,0.18232156,0.5745215,-0.05826891,0.6327904,1.3329145,-1.5999999,-0.0044838786,0.009049774,0.13904105,11.448142,4.9,0.5226562,30.406254
36119,36,0.47830376,0.51747775,0.56734455,0.049866796,0.029570997,0.020295799,0.24281631,-0.16603112,0.40884745,0.15081604,-0.22160259,0.3724186,0.041730672,-0.70000005,0.019423187,0.03916407,0.13980696,13.746591,4.0,0.51690966,52.21395
36121,36,0.40601504,0.6527778,0.6966292,0.043851435,0.06696743,-0.023115993,0.27698678,-0.22137207,0.49835885,0.21197025,-0.3190326,0.5310029,0.07696104,-0.8999996,0.018341541,-0.011056511,0.15066357,10.663826,5.2,0.5009584,28.017508
