year,county,nonbank_loans,bank_loans
2013,2185,1.0,7.0
2014,2185,3.0,9.0
2015,2185,7.0,11.0
2016,2185,0.0,3.0
2006,2188,5.0,1.0
2007,2188,1.0,2.0
2008,2188,1.0,6.0
2009,2188,6.0,5.0
2010,2188,1.0,3.0
2011,2188,8.0,6.0
2012,2188,2.0,4.0
2013,2188,8.0,2.0
2014,2188,0.0,5.0
2015,2188,4.0,9.0
2016,2188,3.0,4.0
2006,2195,13.0,19.0
2007,2195,17.0,18.0
2008,2195,16.0,15.0
2009,2195,8.0,13.0
2010,2195,8.0,18.0
2011,2195,7.0,26.0
2012,2195,7.0,13.0
2013,2195,10.0,42.0
2014,2195,11.0,18.0
2015,2195,13.0,18.0
2016,2195,17.0,22.0
2006,2198,6.0,5.0
2007,2198,11.0,5.0
2008,2198,16.0,7.0
2009,2198,2.0,7.0
2010,2198,3.0,3.0
2011,2198,4.0,3.0
2012,2198,6.0,5.0
2013,2198,7.0,3.0
2014,2198,10.0,5.0
2015,2198,6.0,5.0
2016,2198,6.0,3.0
2006,2220,20.0,28.0
2007,2220,21.0,35.0
2008,2220,16.0,23.0
2009,2220,15.0,29.0
2010,2220,13.0,14.0
2011,2220,24.0,29.0
2012,2220,14.0,21.0
2013,2220,26.0,17.0
2014,2220,31.0,30.0
2015,2220,17.0,27.0
2016,2220,25.0,29.0
2006,2230,15.0,7.0
2007,2230,6.0,7.0
2008,2230,7.0,15.0
2009,2230,5.0,6.0
2010,2230,9.0,1.0
2011,2230,6.0,9.0
2012,2230,4.0,2.0
2013,2230,6.0,11.0
2014,2230,12.0,8.0
2015,2230,6.0,8.0
2016,2230,4.0,9.0
2006,2240,22.0,24.0
2007,2240,9.0,14.0
2008,2240,12.0,14.0
2009,2240,17.0,10.0
2010,2240,16.0,19.0
2011,2240,14.0,18.0
2012,2240,18.0,30.0
2013,2240,12.0,15.0
2014,2240,23.0,15.0
2015,2240,13.0,25.0
2016,2240,29.0,29.0
2006,2261,23.0,8.0
2007,2261,63.0,16.0
2008,2261,14.0,17.0
2009,2261,13.0,23.0
